id,role,required_skills,certifications,courses
1,Cloud Engineer,Terraform; Docker; Python; Google Cloud,Google Professional Cloud Architect,Coursera: Google Cloud Engineering Specialization
2,Data Scientist,Python; Pandas; Scikit-Learn; SQL,TensorFlow Developer Certificate,Udemy: Data Science Bootcamp
3,Frontend Developer,React; TypeScript; CSS; Tailwind,Meta Front-End Developer Professional Certificate,Scrimba: The Frontend Developer Career Path
4,Cybersecurity Analyst,Network Security; SIEM; Wireshark; Linux,CompTIA Security+; Certified Ethical Hacker (CEH),Google Cybersecurity Professional Certificate
5,Backend Developer,Java; Spring Boot; PostgreSQL; Microservices,Oracle Certified Professional: Java SE,Java Backend Development - Udemy
6,DevOps Engineer,Jenkins; Kubernetes; Ansible; AWS,AWS Certified DevOps Engineer; CKAD,Mumshad Mannambeth: Kubernetes for the Absolute Beginners
7,UX/UI Designer,Figma; User Research; Prototyping; Adobe XD,Google UX Design Professional Certificate,Coursera: Foundations of User Experience Design
8,Data Engineer,Apache Spark; Hadoop; Python; ETL Pipelines,Google Professional Data Engineer,Data Engineering with Databricks
9,Mobile App Developer (iOS),Swift; SwiftUI; Xcode; CoreData,App Development with Swift Certified User,100 Days of Swift - Hacking with Swift
10,Product Manager,Agile; Product Roadmap; JIRA; Market Research,Certified Scrum Product Owner (CSPO),Become a Product Manager - Udemy
11,Machine Learning Engineer,PyTorch; NLP; MLOps; Computer Vision,DeepLearning.AI TensorFlow Developer,Machine Learning Specialization by Andrew Ng
12,Blockchain Developer,Solidity; Ethereum; Smart Contracts; Web3.js,Certified Blockchain Developer (CBD),Build a Blockchain with Python - Udemy
13,Database Administrator,SQL Server; Performance Tuning; Backup & Recovery,Azure Database Administrator Associate,Complete SQL Bootcamp - Udemy
14,SRE (Site Reliability Engineer),Observability; Go; Incident Response; Prometheus,Certified Kubernetes Administrator (CKA),SRE Foundation - DevOps Institute
15,Full Stack Developer,Node.js; Express; MongoDB; Vue.js,AWS Certified Developer Associate,The Web Developer Bootcamp - Colt Steele
16,AI Researcher,Calculus; Probability; LaTeX; TensorFlow,NVIDIA Deep Learning Institute Certificate,Fast.ai: Practical Deep Learning for Coders
17,Project Manager,Budgeting; Risk Management; Stakeholder Management,PMP (Project Management Professional),Google Project Management Certificate
18,Quality Assurance (QA) Engineer,Selenium; JMeter; Unit Testing; Cucumber,ISTQB Foundation Level,Automation Testing with Selenium - Udemy
19,Game Developer (Unity),C#; Unity Engine; 3D Modeling; Game Physics,Unity Certified Programmer,Complete C# Unity Game Developer 2D
20,IoT Engineer,C++; Embedded Systems; MQTT; Raspberry Pi,Microsoft Certified: Azure IoT Developer,IoT Programming with Python - Coursera
21,Cloud Security Specialist,IAM; CloudTrail; VPC Security; Encryption,CCSP (Certified Cloud Security Professional),Pragmatic Institute: Cloud Security Foundations
